image,#non-text,#text,#regions,average area,std area,average height,std height,average width,std width
EvaLady_011_ide.png,951136,16454,424,38.806603773584904,40.523232956174205,8.709905660377359,5.219095561653003,7.955188679245283,4.99295460815709
EvaLady_018_ide.png,933651,33939,463,73.3023758099352,91.07872449057842,11.028077753779698,6.605945844088813,9.967602591792657,6.596110189377043
EvaLady_021_ide.png,948439,19151,412,46.48300970873787,49.48621660280871,9.087378640776699,5.350994456375856,8.155339805825243,5.1066438384029675
EvaLady_028_ide.png,943878,23712,366,64.78688524590164,84.05923258096985,10.363387978142077,7.347106303522858,9.193989071038251,6.065495618065908
EvaLady_041_ide.png,935387,32203,411,78.35279805352798,86.42462708127142,11.445255474452555,7.1768616866654185,10.574209245742093,6.301524671259614
EvaLady_109_ide.png,916788,50802,507,100.20118343195266,220.93258264355256,12.106508875739644,8.021451579682289,11.642998027613412,8.784779584773501
EvaLady_110_ide.png,949729,17861,367,48.66757493188011,54.577481461449864,9.803814713896458,6.056922236073652,8.975476839237057,5.734065539075378
EvaLady_129_ide.png,943918,23672,363,65.21212121212122,94.5857819976476,10.03305785123967,6.178609529531407,9.782369146005509,6.541624966097076
EvaLady_168_ide.png,944370,23220,379,61.266490765171504,55.21873234869797,11.158311345646437,6.000549957043012,9.757255936675461,4.425778272173567
EvaLady_169_ide.png,939235,28355,430,65.94186046511628,52.66700009364736,11.227906976744187,5.618421758920748,10.311627906976744,4.561783071538951
